trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
1096244,1,6909,06:12:00,06:12:00,,,0,0,
1096244,2,6947,06:55:00,06:55:00,,,0,0,
1096247,1,6909,06:42:00,06:42:00,,,0,0,
1096247,2,6947,07:25:00,07:25:00,,,0,0,
1096250,1,6909,07:12:00,07:12:00,,,0,0,
1096250,2,6947,07:55:00,07:55:00,,,0,0,
1096259,1,6947,16:30:00,16:30:00,,,0,0,
1096259,2,6878,17:05:00,17:05:00,,,0,0,
1096262,1,6947,17:00:00,17:00:00,,,0,0,
1096262,2,6878,17:34:00,17:34:00,,,0,0,
1096273,1,6909,06:32:00,06:32:00,,,0,0,
1096273,2,6948,07:25:00,07:25:00,,,0,0,
1096276,1,6909,07:02:00,07:02:00,,,0,0,
1096276,2,6948,07:55:00,07:55:00,,,0,0,
1096279,1,6948,16:05:00,16:05:00,,,0,0,
1096279,2,6878,16:59:00,16:59:00,,,0,0,
1096282,1,6948,16:49:00,16:49:00,,,0,0,
1096282,2,6878,17:30:00,17:30:00,,,0,0,
1096339,1,6909,06:30:00,06:30:00,,,0,0,
1096339,2,6954,07:25:00,07:25:00,,,0,0,
10971930,1,6873,06:30:00,06:30:00,,,0,0,
10971930,2,6889,,,,,0,0,
10971930,3,6886,,,,,0,0,
10971930,4,6874,,,,,0,0,
10971930,5,6875,,,,,0,0,
10971930,6,6876,,,,,0,0,
10971930,7,6912,06:35:00,06:35:00,,,0,0,
10971930,8,6890,,,,,0,0,
10971930,9,6891,,,,,0,0,
10971930,10,6892,,,,,0,0,
10971930,11,6883,06:40:00,06:40:00,,,0,0,
10971930,12,6991,08:00:00,08:00:00,,,0,0,
10971954,1,6904,06:15:00,06:15:00,,,0,0,
10971954,2,6894,,,,,0,0,
10971954,3,6896,,,,,0,0,
10971954,4,6897,,,,,0,0,
10971954,5,6900,,,,,0,0,
10971954,6,6899,06:25:00,06:25:00,,,0,0,
