stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
2221057,,"West Conyers P&R (Sigman Rd, Perimeter)",,33.68508571123551,-84.05697584152222,,,0,,0,
6885,,Forsyth St @ Five Points MARTA Station (northbound),,33.754141439,-84.3921184873,,,0,,0,
6887,,W Peachtree St @ Civic Center MARTA Station (southbound),,33.7662153757,-84.3877518148,,,0,,0,
6896,,W Peachtree St @ 5th St,,33.776078439,-84.3870690781,,,0,,0,
6898,,Spring St @ 17th St,,33.7903562125,-84.3895779497,,,0,,0,
6899,,W Peachtree St @ Arts Center MARTA Station,,33.7892160665,-84.3876038678,,,0,,0,
6907,,17th St @ Market St,,33.7914397684,-84.3947811753,,,0,,0,
6910,,Spring St @ Carnegie Way,,33.7589676113,-84.3894435067,,,0,,0,
6911,,Spring St @ Luckie St,,33.7580725133,-84.3906933622,,,0,,0,
6914,,North Springs MARTA Station,,33.944454249,-84.357013333,,,0,,0,
6915,,JC Pkwy @ Commerce Way (S),,34.0714722577,-84.1652054853,,,0,,0,
6917,,JC Pkwy @ Johns Creek Ct (N),,34.0682634127,-84.1618288152,,,0,,0,
6918,,JC Pkwy @ Johns Creek Ct (S),,34.0685843559,-84.1625530201,,,0,,0,
6919,,JC Pkwy @ E Johns Crossing (S),,34.0634694626,-84.1649850191,,,0,,0,
6921,,JC Pkwy @ E Johns Crossing (N),,34.0632276338,-84.1645642576,,,0,,0,
6922,,11445 Johns Creek Pkwy (S),,34.0610699547,-84.1656137761,,,0,,0,
6925,,GA 141 @ Abbotts Br ShpCtr (N),,34.0467208528,-84.1781636433,,,0,,0,
6930,,Forum @ 5555 Ptree Pkwy (S),,33.9810764162,-84.2156659946,,,0,,0,
6932,,Triangle Pkwy at Metric Dr (S),,33.9753555572,-84.2242891428,,,0,,0,
6933,,Triangle Pkwy at Metric Dr (N),,33.9753054956,-84.2239273615,,,0,,0,
6934,,5510 Spalding Dr (S),,33.9699886286,-84.2231917348,,,0,,0,
6935,,5515 Spalding Dr (N),,33.9702326425,-84.2231057715,,,0,,0,
6936,,HCA @ 5707 Peachtree Parkway (S),,33.9641970816,-84.224772497,,,0,,0,
6937,,5664 Peachtree Parkway (N),,33.9637523004,-84.2245310622,,,0,,0,
6938,,6155 Peachtree Parkway (S),,33.9513077329,-84.2348301791,,,0,,0,
6948,,Panola Rd P&R,,33.7022873949,-84.1732485928,,,0,,0,
6955,,Arbor Place Mall,,33.7299686644,-84.7457750635,,,0,,0,
6969,,Jonesboro P&R,,33.5243840536,-84.3620616545,,,0,,0,
6970,,Dunwoody MARTA,,33.9212473902,-84.3443258052,,,0,,0,
6972,,East Conyers P&R (Springfield Church),,33.64102291216229,-83.98775589966789,,,0,,0,
6974,,JC Pkwy @ Commerce Way (N),,34.0717540811,-84.1651070501,,,0,,0,
6977,,Southern Regional Hospital (S),,33.5780604356,-84.3889431913,,,0,,0,
6978,,Southern Regional Hospital (N),,33.5779899833,-84.388591182,,,0,,0,
6986,,East Conyers Drivers Services,,33.6669678955,-83.9770497076,,,0,,0,
6987,,Stone Mountain P&R,,33.8224612635,-84.1098687216,,,0,,0,
6993,,4355 Ash Dun-N Ravina Dr (E),,33.9215597485,-84.3385989947,,,0,,0,
6994,,4355 Ash Dun-N Ravina Dr (W),,33.922576352,-84.3389301834,,,0,,0,
6998,,PtreeDunwoody-Concourse (W),,33.9167656798,-84.3515392817,,,0,,0,
7004,,John Portman Blvd just past Peachtree Center Ave,,33.7607390301,-84.3854267115,,,0,,0,
7010,,17th St just before Spring St,,33.7920299967,-84.3889334623,,,0,,0,
10973355,,GA 141 @ Parsons Rd (N),,34.04017821982067,-84.18429493904114,,,0,,0,
10973356,,GA 141 @ Parsons Rd (S),,34.04024934298223,-84.18452024459839,,,0,,0,
6873,,Williams St @ Baker St,,33.76253645,-84.3908271448,,,0,,0,
6874,,Centennial Olympic Park Dr @ John Portman Blvd,American Cancer Soc,33.76125825,-84.3923203697,,,0,,0,
6875,,Centennial Olympic Park Dr @ Andrew Young International Blvd,,33.7598807378,-84.39231676,,,0,,0,
6876,,Marietta St at Cone St,across from Marietta 101 Bldg,33.7562046185,-84.3920901514,,,0,,0,
6877,,Spring St @ Pine St,Civic Center MARTA Station,33.7676640852,-84.387575997,,,0,,0,
6878,,Baker St @ Williams St,,33.7625120483,-84.3902162347,,,0,,0,
6879,,W Peachtree St @ North Ave,North Ave MARTA Station,33.7710376996,-84.3871838379,,,0,,0,
6880,,Peachtree Center Ave between Baker & Peachtree,,33.7636258281,-84.38567119,,,0,,0,
