route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
GRTA_5655,7032,,West Conyers (AM),420,,42001,1096201,1,0,1096244
GRTA_5655,7032,,West Conyers (AM),420,,42002,1096201,1,0,1096247
GRTA_5655,7032,,West Conyers (AM),420,,42003,1096201,1,0,1096250
GRTA_5655,7032,,Downtown (PM),420,,42051,1096202,1,0,1096259
GRTA_5655,7032,,Downtown (PM),420,,42052,1096202,1,0,1096262
GRTA_5661,7032,,Panola Rd (AM),422,,42201,1096271,1,0,1096273
GRTA_5661,7032,,Panola Rd (AM),422,,42202,1096271,1,0,1096276
GRTA_5661,7032,,Downtown (PM),422,,42251,1096272,1,0,1096279
GRTA_5661,7032,,Downtown (PM),422,,42252,1096272,1,0,1096282
GRTA_5697,7032,,Newnan (AM),450,,45001,1096337,1,0,1096339
GRTA_5649,7032,,Hamilton Mill (AM),413,,,4560569,1,0,10971930
GRTA_5664,7032,,East Conyers (AM),423,,42301,1096292,1,0,10971954
GRTA_5664,7032,,East Conyers (AM),423,,42302,1096292,1,0,10971965
GRTA_5691,7032,,Jonesboro (AM),441,,41101,1096115,1,0,10972020
GRTA_5691,7032,,Jonesboro (AM),441,,41102,1096115,1,0,10972031
GRTA_5694,7032,,Downtown (PM),442,,,2221648,1,0,10972042
GRTA_5694,7032,,Downtown (PM),442,,,2221648,1,0,10972046
GRTA_5694,7032,,Downtown (PM),442,,,2221648,1,0,10972050
GRTA_5709,7032,,Canton via Midtown,490,,,1090006,1,0,10972087
GRTA_5701,7032,,Midtown,451,,,1089778,1,0,10972419
GRTA_5701,7032,,Midtown,451,,,1089778,1,0,10972431
GRTA_5701,7032,,Midtown,451,,,1089778,1,0,10972443
GRTA_5701,7032,,Midtown,451,,,1089778,1,0,10972454
GRTA_5701,7032,,Newnan (AM),451,,,2221762,1,0,10972465
GRTA_5701,7032,,Newnan (AM),451,,,2221762,1,0,10972468
GRTA_5669,7032,,Downtown (PM),425,,,1096314,1,0,10972471
GRTA_5669,7032,,Downtown (PM),425,,,1096314,1,0,10972476
GRTA_5669,7032,,East Conyers (AM),425,,,1096313,1,0,10972481
GRTA_5669,7032,,East Conyers (AM),425,,,1096313,1,0,10972485
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972489
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972500
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972511
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972522
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972533
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972544
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972555
GRTA_5669,7032,,Downtown,425,,,1089666,1,0,10972566
GRTA_5713,7032,,Woodstock (AM),491,,,1096487,1,0,10972673
GRTA_5713,7032,,Woodstock (AM),491,,,1096487,1,0,10972683
GRTA_5713,7032,,Midtown (PM),491,,,4560567,1,0,10972743
GRTA_5713,7032,,Woodstock,491,,,1090018,1,0,10972753
GRTA_5713,7032,,Woodstock,491,,,1090018,1,0,10972763
GRTA_5713,7032,,Woodstock,491,,,1090018,1,0,10972773
GRTA_5713,7032,,Woodstock,491,,,1090018,1,0,10972783
GRTA_5707,7032,,Downtown/Midtown,461/62,,,2223226,1,0,10972814
GRTA_5707,7032,,Downtown/Midtown,461/62,,,2223226,1,0,10972833
GRTA_5707,7032,,Downtown/Midtown,461/62,,,2223226,1,0,10972852
GRTA_5707,7032,,Downtown/Midtown,461/62,,,2223226,1,0,10972871
GRTA_5707,7032,,Downtown/Midtown,461/62,,,2223226,1,0,10972890
GRTA_5707,7032,,Downtown/Midtown,461/62,,,2223226,1,0,10972909
GRTA_5707,7032,,West Douglas,461/62,,,2242492,1,0,10972928
GRTA_5707,7032,,West Douglas,461/62,,,2242492,1,0,10972945
GRTA_5707,7032,,West Douglas,461/62,,,2242492,1,0,10972962
